Strategy,Game Number,Attempts,Success,Guesses,Feedbacks,Secret Code
0,1,10,False,"[['RED', 'BLUE', 'YELLOW', 'ORANGE'], ['BLUE', 'YELLOW', 'BLUE', 'BLACK'], ['BLUE', 'RED', 'YELLOW', 'BLUE'], ['YELLOW', 'BLUE', 'RED', 'ORANGE'], ['GREEN', 'GREEN', 'RED', 'BLACK'], ['BLUE', 'ORANGE', 'BLACK', 'RED'], ['ORANGE', 'BLUE', 'ORANGE', 'ORANGE'], ['BLUE', 'ORANGE', 'BLUE', 'YELLOW'], ['BLUE', 'BLACK', 'ORANGE', 'BLACK'], ['GREEN', 'ORANGE', 'RED', 'ORANGE']]","[(2, 0), (0, 2), (0, 1), (2, 0), (0, 1), (1, 2), (2, 0), (0, 2), (0, 4), (1, 0)]","['BLACK', 'BLUE', 'BLACK', 'ORANGE']"
0,2,10,False,"[['BLUE', 'YELLOW', 'ORANGE', 'YELLOW'], ['GREEN', 'GREEN', 'BLUE', 'GREEN'], ['ORANGE', 'ORANGE', 'BLACK', 'YELLOW'], ['GREEN', 'BLACK', 'YELLOW', 'BLUE'], ['RED', 'GREEN', 'BLACK', 'YELLOW'], ['ORANGE', 'RED', 'ORANGE', 'BLUE'], ['YELLOW', 'YELLOW', 'ORANGE', 'GREEN'], ['RED', 'RED', 'BLUE', 'YELLOW'], ['YELLOW', 'YELLOW', 'RED', 'BLACK'], ['ORANGE', 'ORANGE', 'RED', 'BLUE']]","[(2, 0), (0, 1), (0, 2), (0, 2), (0, 1), (1, 1), (1, 0), (0, 1), (1, 0), (0, 2)]","['BLUE', 'BLUE', 'ORANGE', 'BLACK']"
0,3,10,False,"[['ORANGE', 'YELLOW', 'GREEN', 'YELLOW'], ['BLUE', 'BLUE', 'ORANGE', 'BLUE'], ['RED', 'GREEN', 'BLUE', 'RED'], ['BLUE', 'GREEN', 'BLUE', 'BLUE'], ['BLACK', 'RED', 'BLUE', 'BLACK'], ['BLUE', 'BLUE', 'GREEN', 'BLACK'], ['BLUE', 'ORANGE', 'ORANGE', 'RED'], ['BLUE', 'RED', 'ORANGE', 'GREEN'], ['ORANGE', 'ORANGE', 'ORANGE', 'ORANGE'], ['GREEN', 'GREEN', 'RED', 'ORANGE']]","[(1, 2), (0, 0), (0, 1), (0, 1), (1, 0), (1, 1), (0, 0), (0, 1), (0, 0), (1, 0)]","['GREEN', 'YELLOW', 'YELLOW', 'BLACK']"
0,4,10,False,"[['RED', 'ORANGE', 'GREEN', 'RED'], ['GREEN', 'BLACK', 'GREEN', 'BLACK'], ['GREEN', 'BLACK', 'BLUE', 'YELLOW'], ['BLUE', 'BLUE', 'BLUE', 'YELLOW'], ['ORANGE', 'YELLOW', 'BLACK', 'BLACK'], ['BLUE', 'RED', 'BLACK', 'RED'], ['BLUE', 'GREEN', 'YELLOW', 'BLACK'], ['ORANGE', 'BLACK', 'RED', 'GREEN'], ['GREEN', 'YELLOW', 'BLUE', 'BLACK'], ['BLACK', 'BLUE', 'BLUE', 'RED']]","[(0, 2), (1, 0), (2, 1), (1, 1), (1, 1), (0, 1), (0, 3), (0, 2), (3, 0), (1, 0)]","['GREEN', 'YELLOW', 'BLUE', 'ORANGE']"
0,5,10,False,"[['GREEN', 'YELLOW', 'BLACK', 'RED'], ['RED', 'GREEN', 'YELLOW', 'BLUE'], ['ORANGE', 'ORANGE', 'ORANGE', 'ORANGE'], ['GREEN', 'BLUE', 'ORANGE', 'YELLOW'], ['YELLOW', 'BLUE', 'ORANGE', 'ORANGE'], ['ORANGE', 'ORANGE', 'YELLOW', 'GREEN'], ['RED', 'ORANGE', 'RED', 'RED'], ['ORANGE', 'GREEN', 'GREEN', 'BLACK'], ['ORANGE', 'RED', 'GREEN', 'BLACK'], ['GREEN', 'YELLOW', 'BLACK', 'BLACK']]","[(0, 2), (0, 1), (1, 0), (0, 1), (1, 0), (0, 1), (1, 2), (0, 2), (1, 2), (0, 1)]","['BLACK', 'RED', 'RED', 'ORANGE']"
0,6,10,False,"[['ORANGE', 'YELLOW', 'GREEN', 'BLUE'], ['GREEN', 'GREEN', 'GREEN', 'ORANGE'], ['GREEN', 'ORANGE', 'BLACK', 'BLUE'], ['GREEN', 'YELLOW', 'ORANGE', 'YELLOW'], ['ORANGE', 'GREEN', 'GREEN', 'GREEN'], ['BLACK', 'ORANGE', 'BLACK', 'BLUE'], ['GREEN', 'BLACK', 'ORANGE', 'YELLOW'], ['ORANGE', 'RED', 'ORANGE', 'BLUE'], ['BLUE', 'YELLOW', 'BLACK', 'ORANGE'], ['BLUE', 'YELLOW', 'BLUE', 'BLACK']]","[(0, 2), (1, 0), (0, 2), (1, 1), (0, 1), (0, 2), (2, 1), (1, 1), (1, 2), (0, 2)]","['YELLOW', 'BLACK', 'ORANGE', 'ORANGE']"
0,7,10,False,"[['GREEN', 'BLACK', 'ORANGE', 'RED'], ['RED', 'BLACK', 'ORANGE', 'YELLOW'], ['RED', 'YELLOW', 'BLUE', 'ORANGE'], ['BLUE', 'GREEN', 'BLUE', 'YELLOW'], ['YELLOW', 'GREEN', 'BLUE', 'BLUE'], ['RED', 'GREEN', 'ORANGE', 'RED'], ['BLACK', 'YELLOW', 'BLACK', 'ORANGE'], ['BLACK', 'GREEN', 'BLUE', 'ORANGE'], ['YELLOW', 'RED', 'ORANGE', 'GREEN'], ['RED', 'RED', 'YELLOW', 'BLUE']]","[(1, 1), (0, 2), (0, 2), (0, 3), (0, 3), (0, 1), (0, 2), (0, 3), (0, 2), (1, 1)]","['GREEN', 'BLUE', 'YELLOW', 'BLACK']"
0,8,10,False,"[['BLUE', 'BLUE', 'RED', 'YELLOW'], ['YELLOW', 'YELLOW', 'ORANGE', 'GREEN'], ['GREEN', 'BLUE', 'BLUE', 'GREEN'], ['BLACK', 'RED', 'GREEN', 'BLACK'], ['YELLOW', 'RED', 'GREEN', 'YELLOW'], ['ORANGE', 'YELLOW', 'BLACK', 'RED'], ['BLUE', 'BLACK', 'BLUE', 'BLACK'], ['BLACK', 'RED', 'RED', 'YELLOW'], ['ORANGE', 'GREEN', 'YELLOW', 'YELLOW'], ['GREEN', 'RED', 'ORANGE', 'YELLOW']]","[(1, 1), (0, 2), (0, 1), (1, 0), (0, 1), (0, 3), (2, 0), (0, 2), (1, 1), (0, 2)]","['BLUE', 'ORANGE', 'YELLOW', 'BLACK']"
0,9,10,False,"[['YELLOW', 'BLACK', 'GREEN', 'GREEN'], ['YELLOW', 'BLUE', 'RED', 'RED'], ['RED', 'GREEN', 'BLACK', 'ORANGE'], ['RED', 'BLACK', 'BLUE', 'BLACK'], ['RED', 'GREEN', 'ORANGE', 'ORANGE'], ['BLUE', 'YELLOW', 'GREEN', 'BLACK'], ['GREEN', 'BLACK', 'BLUE', 'YELLOW'], ['GREEN', 'YELLOW', 'YELLOW', 'BLACK'], ['ORANGE', 'RED', 'RED', 'ORANGE'], ['BLACK', 'BLACK', 'RED', 'ORANGE']]","[(0, 1), (0, 2), (1, 0), (1, 0), (1, 0), (2, 0), (1, 1), (1, 0), (1, 0), (1, 0)]","['BLUE', 'YELLOW', 'BLUE', 'ORANGE']"
0,10,10,False,"[['BLACK', 'YELLOW', 'YELLOW', 'BLACK'], ['ORANGE', 'BLACK', 'BLACK', 'BLUE'], ['RED', 'BLACK', 'YELLOW', 'ORANGE'], ['GREEN', 'BLUE', 'BLUE', 'ORANGE'], ['ORANGE', 'GREEN', 'ORANGE', 'GREEN'], ['RED', 'RED', 'BLUE', 'BLACK'], ['BLACK', 'ORANGE', 'RED', 'RED'], ['BLUE', 'ORANGE', 'BLUE', 'GREEN'], ['YELLOW', 'GREEN', 'BLACK', 'YELLOW'], ['BLACK', 'RED', 'ORANGE', 'RED']]","[(0, 1), (0, 1), (1, 1), (1, 1), (1, 2), (0, 0), (0, 1), (0, 2), (2, 0), (0, 1)]","['YELLOW', 'GREEN', 'GREEN', 'ORANGE']"
